City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
6,Bredasdorp,ZA,67.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
7,Samarai,PG,78.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
8,Rikitea,PF,76.8,light rain,-23.1203,-134.9692,People ThankYou
9,Cape Town,ZA,74.12,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
13,Hithadhoo,MV,81.1,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Kulhudhuffushi,MV,80.62,scattered clouds,6.6221,73.07,Haajy Guest House 1
18,Port Alfred,ZA,69.76,light rain,-33.5906,26.891,The Halyards Hotel
19,Meulaboh,ID,84.29,overcast clouds,4.1363,96.1285,Kost Pria
20,Kalianget,ID,83.41,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
21,Mar Del Plata,AR,67.08,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
24,Faanui,PF,81.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Sorong,ID,84.6,few clouds,-0.8833,131.25,Waigo Splash Hotel
35,Kapaa,US,70.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Gold Coast,AU,78.87,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
40,Puerto Ayora,EC,71.24,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Moindou,NC,80.55,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
45,New Norfolk,AU,74.75,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
46,Saint-Georges,GD,77.76,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
47,Imbituba,BR,69.82,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
48,Rawson,AR,67.62,clear sky,-43.3002,-65.1023,Hosteria Sampedro
49,Port Lincoln,AU,65.3,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
50,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
51,Ares,BR,75.74,scattered clouds,-6.1944,-35.1603,Recanto dos Pássaros
52,Hobart,AU,75.11,light intensity shower rain,-42.8794,147.3294,Mantra on Collins Hobart
56,Atuona,PF,77.9,broken clouds,-9.8,-139.0333,Villa Enata
58,Moron,AR,72.97,clear sky,-34.6534,-58.6198,Hotel Morón
59,Condado,CU,68.16,clear sky,21.8767,-79.8403,Casa Guachinango
62,Angoche,MZ,82.4,overcast clouds,-16.2325,39.9086,Guest House HESADA
67,Tura,IN,76.1,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
69,Hilo,US,73.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Poum,NC,81.23,overcast clouds,-20.2333,164.0167,Gîte kajeon
79,Ailigandi,PA,77.36,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
80,Souillac,MU,82.36,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Takaka,NZ,66.38,overcast clouds,-40.85,172.8,Golden Bay Motels
82,Mapiripan,CO,73.69,broken clouds,2.8892,-72.1256,Monserrate
84,Banda Aceh,ID,84.97,broken clouds,5.5577,95.3222,Sulthan Hotel International
90,Baghmara,IN,74.3,clear sky,23.795,86.2085,Shankar tea shop
92,Kaeo,NZ,69.33,scattered clouds,-35.1,173.7833,Bushido Lodge
93,Hermanus,ZA,73.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
97,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
99,Victoria,HK,71.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
100,Basco,PH,74.39,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
101,Burnie,AU,70.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
108,Senanga,ZM,70.84,overcast clouds,-16.1167,23.2667,Zango lodge
112,Miri,MY,83.77,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
113,Wawa,NG,73.76,clear sky,9.9022,4.4192,
116,Arraial Do Cabo,BR,74.53,light rain,-22.9661,-42.0278,Pousada Porto Praia
120,Tubuala,PA,75.33,broken clouds,9.5167,-79.0333,Río Nabagana
129,Hatillo,PR,75.85,few clouds,18.4863,-66.8254,Hotel Parador El Buen Café
