City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,-18.42,89,85,5.41,overcast clouds
1,Nogent-Le-Rotrou,FR,48.3333,1.0,37.65,95,100,12.46,overcast clouds
2,Ponta Do Sol,PT,32.6667,-17.1,64.0,70,56,7.43,broken clouds
3,Cabo San Lucas,MX,22.8909,-109.9124,70.52,76,0,1.01,clear sky
4,Portland,US,45.5234,-122.6762,53.58,86,100,4.0,light rain
5,Mataura,NZ,-46.1927,168.8643,60.48,56,43,6.93,scattered clouds
6,Bredasdorp,ZA,-34.5322,20.0403,67.28,86,100,17.69,light rain
7,Samarai,PG,-10.6167,150.6667,78.62,85,99,4.83,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,76.8,77,44,12.8,light rain
9,Cape Town,ZA,-33.9258,18.4232,74.12,61,30,5.01,scattered clouds
10,Punta Arenas,CL,-53.15,-70.9167,48.11,61,94,4.85,overcast clouds
11,Georgetown,MY,5.4112,100.3354,89.53,62,20,10.36,few clouds
12,Sitka,US,57.0531,-135.33,19.29,68,0,8.05,clear sky
13,Hithadhoo,MV,-0.6,73.0833,81.1,75,95,5.97,overcast clouds
14,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.2,71,1,6.26,clear sky
15,Albany,US,42.6001,-73.9662,27.95,80,100,1.97,overcast clouds
16,Qaanaaq,GL,77.484,-69.3632,3.85,63,99,6.62,overcast clouds
17,Kulhudhuffushi,MV,6.6221,73.07,80.62,76,40,6.82,scattered clouds
18,Port Alfred,ZA,-33.5906,26.891,69.76,92,100,16.82,light rain
19,Meulaboh,ID,4.1363,96.1285,84.29,70,100,6.38,overcast clouds
20,Kalianget,ID,-7.05,113.9333,83.41,71,89,4.74,overcast clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,67.08,80,65,3.0,broken clouds
22,Nanortalik,GL,60.1432,-45.2371,15.64,73,47,11.59,scattered clouds
23,Lebu,CL,-37.6167,-73.65,56.5,95,58,13.67,broken clouds
24,Faanui,PF,-16.4833,-151.75,81.63,76,9,13.53,light rain
25,Kodiak,US,57.79,-152.4072,26.46,89,41,5.68,scattered clouds
26,Gornoye Loo,RU,43.7129,39.6049,47.98,63,41,4.56,scattered clouds
27,Alice Springs,AU,-23.7,133.8833,90.95,14,0,5.75,clear sky
28,North Platte,US,41.1239,-100.7654,8.49,76,100,11.01,overcast clouds
29,Busselton,AU,-33.65,115.3333,92.08,37,0,3.24,clear sky
30,Ilulissat,GL,69.2167,-51.1,19.42,93,100,13.8,light snow
31,Ribeira Grande,PT,38.5167,-28.7,57.85,62,91,8.5,overcast clouds
32,Ergani,TR,38.2653,39.7621,38.12,59,80,2.71,broken clouds
33,Barrow,US,71.2906,-156.7887,-3.98,77,100,9.22,overcast clouds
34,Sorong,ID,-0.8833,131.25,84.6,69,15,10.18,few clouds
35,Kapaa,US,22.0752,-159.319,70.12,72,20,5.75,few clouds
36,Zeya,RU,53.75,127.2667,-1.3,78,69,1.5,broken clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,-13.18,95,100,23.24,light snow
38,Gold Coast,AU,-28.0,153.4333,78.87,84,100,3.0,overcast clouds
39,Tasiilaq,GL,65.6145,-37.6368,37.56,81,100,11.25,light rain
40,Puerto Ayora,EC,-0.7393,-90.3518,71.24,86,60,4.21,broken clouds
41,Bluff,NZ,-46.6,168.3333,60.8,72,52,8.52,broken clouds
42,Osakarovka,KZ,50.565,72.5692,14.04,95,40,8.48,scattered clouds
43,Moindou,NC,-21.6924,165.677,80.55,79,88,12.06,overcast clouds
44,Erenhot,CN,43.6475,111.9767,26.69,44,18,14.07,few clouds
45,New Norfolk,AU,-42.7826,147.0587,74.75,62,97,2.91,moderate rain
46,Saint-Georges,GD,12.0564,-61.7485,77.76,75,11,14.47,few clouds
47,Imbituba,BR,-28.24,-48.6703,69.82,82,84,5.64,broken clouds
48,Rawson,AR,-43.3002,-65.1023,67.62,58,3,5.55,clear sky
49,Port Lincoln,AU,-34.7333,135.8667,65.3,69,100,16.49,overcast clouds
50,Vaini,TO,-21.2,-175.2,82.56,89,75,8.05,broken clouds
51,Ares,BR,-6.1944,-35.1603,75.74,82,25,5.91,scattered clouds
52,Hobart,AU,-42.8794,147.3294,75.11,91,75,1.99,light intensity shower rain
53,Ushuaia,AR,-54.8,-68.3,46.06,61,40,5.75,scattered clouds
54,Saint-Francois,FR,46.4154,3.9054,31.68,91,100,3.44,overcast clouds
55,Carnarvon,AU,-24.8667,113.6333,86.07,70,0,19.57,clear sky
56,Atuona,PF,-9.8,-139.0333,77.9,74,66,13.06,broken clouds
57,Abalak,RU,58.1286,68.5944,22.55,91,100,14.99,overcast clouds
58,Moron,AR,-34.6534,-58.6198,72.97,69,0,5.01,clear sky
59,Condado,CU,21.8767,-79.8403,68.16,89,0,2.91,clear sky
60,Margate,GB,51.3813,1.3862,40.69,85,95,1.99,overcast clouds
61,Kaitangata,NZ,-46.2817,169.8464,62.92,68,58,11.86,broken clouds
62,Angoche,MZ,-16.2325,39.9086,82.4,75,100,3.89,overcast clouds
63,Yar-Sale,RU,66.8333,70.8333,-7.35,94,100,16.98,overcast clouds
64,Blythe,US,33.6103,-114.5964,54.84,41,0,1.16,clear sky
65,Ancud,CL,-41.8697,-73.8203,58.53,95,15,1.23,few clouds
66,Saskylakh,RU,71.9167,114.0833,-24.34,99,93,2.01,overcast clouds
67,Tura,IN,25.5198,90.2201,76.1,36,2,2.84,clear sky
68,Otane,NZ,-39.8833,176.6333,64.38,51,12,10.83,few clouds
69,Hilo,US,19.7297,-155.09,73.13,90,20,4.61,few clouds
70,Salonta,RO,46.8,21.65,28.89,62,53,7.2,broken clouds
71,Big Rapids,US,43.6981,-85.4837,6.75,92,0,0.0,clear sky
72,Chokurdakh,RU,70.6333,147.9167,-18.98,94,99,3.2,overcast clouds
73,Nouadhibou,MR,20.931,-17.0347,63.45,71,100,20.11,overcast clouds
74,Poum,NC,-20.2333,164.0167,81.23,78,91,7.63,overcast clouds
75,Scarborough,GB,54.2797,-0.4044,36.97,89,36,5.01,snow
