City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-09-26 08:01:44,-54.8,-68.3,31.44,86,28,3.51
1,Nome,US,2021-09-26 08:06:39,64.5011,-165.4064,42.87,76,1,11.5
2,Katsuura,JP,2021-09-26 08:06:40,35.1333,140.3,71.11,68,100,11.7
3,Gazojak,TM,2021-09-26 08:06:40,41.1875,61.4036,83.3,29,1,11.32
4,Gazli,UZ,2021-09-26 08:06:40,40.1333,63.45,91.96,11,0,10.92
5,Maku,IR,2021-09-26 08:06:40,39.2911,44.4521,62.1,28,0,4.16
6,Pevek,RU,2021-09-26 08:06:41,69.7008,170.3133,30.0,92,100,13.51
7,Kapaa,US,2021-09-26 08:06:41,22.0752,-159.319,79.12,82,90,1.99
8,Khani,GE,2021-09-26 08:06:41,41.9563,42.9566,49.57,94,99,0.67
9,Lagoa,PT,2021-09-26 08:06:42,39.05,-27.9833,69.67,82,22,13.22
10,Puerto Ayora,EC,2021-09-26 08:06:42,-0.7393,-90.3518,68.65,90,94,7.72
11,Hermanus,ZA,2021-09-26 08:06:42,-34.4187,19.2345,66.9,82,100,5.82
12,Major Isidoro,BR,2021-09-26 08:06:43,-9.5322,-36.985,70.21,92,61,5.32
13,Mahebourg,MU,2021-09-26 08:06:43,-20.4081,57.7,77.25,71,8,17.69
14,Vaini,TO,2021-09-26 08:06:43,-21.2,-175.2,69.96,94,75,3.44
15,Ejido,VE,2021-09-26 08:06:44,8.5514,-71.2375,63.14,80,49,7.38
16,Khatanga,RU,2021-09-26 08:06:44,71.9667,102.5,36.75,74,100,11.41
17,Bredasdorp,ZA,2021-09-26 08:06:44,-34.5322,20.0403,63.28,81,100,4.99
18,Jamestown,US,2021-09-26 08:06:44,42.097,-79.2353,51.71,94,40,1.01
19,Aswan,EG,2021-09-26 08:06:45,24.0934,32.907,91.42,20,3,13.76
20,Roma,US,2021-09-26 08:06:45,43.2128,-75.4557,57.96,92,90,6.91
21,Klaksvik,FO,2021-09-26 08:06:13,62.2266,-6.589,54.52,91,100,30.38
22,Ixtapa,MX,2021-09-26 08:06:45,20.7,-105.2,77.23,98,100,3.71
23,Bengkulu,ID,2021-09-26 08:06:46,-3.8004,102.2655,76.17,89,100,8.63
24,Xam Nua,LA,2021-09-26 08:06:46,20.4197,104.0439,77.16,67,89,4.59
25,Port Alfred,ZA,2021-09-26 08:06:46,-33.5906,26.891,68.18,68,85,7.16
26,Olafsvik,IS,2021-09-26 08:06:47,64.8945,-23.7142,41.02,88,100,42.23
27,Norman Wells,CA,2021-09-26 08:06:47,65.282,-126.8329,32.04,86,75,12.66
28,Kaitangata,NZ,2021-09-26 08:02:59,-46.2817,169.8464,39.24,79,99,5.17
29,Qaanaaq,GL,2021-09-26 08:06:47,77.484,-69.3632,16.12,72,25,7.85
30,Kuusamo,FI,2021-09-26 08:06:48,65.9667,29.1833,44.64,93,90,2.3
31,Tuatapere,NZ,2021-09-26 08:06:48,-46.1333,167.6833,42.82,78,45,2.91
32,Esperance,AU,2021-09-26 08:06:48,-33.8667,121.9,63.7,73,63,6.53
33,Caravelas,BR,2021-09-26 08:06:49,-17.7125,-39.2481,68.7,83,70,4.65
34,Albany,US,2021-09-26 08:06:49,42.6001,-73.9662,60.46,85,89,10.0
35,Gat,IL,2021-09-26 08:06:49,31.61,34.7642,90.91,34,2,1.79
36,Mataura,NZ,2021-09-26 08:06:50,-46.1927,168.8643,42.48,92,95,1.59
37,Cherskiy,RU,2021-09-26 08:06:50,68.75,161.3,31.3,92,100,10.02
38,Karatau,KZ,2021-09-26 08:06:50,43.1667,70.4667,87.26,8,0,6.42
39,Zverinogolovskoye,RU,2021-09-26 08:06:51,54.4586,64.8542,53.31,46,100,19.8
40,Camacha,PT,2021-09-26 08:06:51,33.0833,-16.3333,65.62,77,20,0.0
41,Finnsnes,NO,2021-09-26 08:06:51,69.2296,17.9811,46.35,75,100,4.27
42,Saint-Joseph,RE,2021-09-26 08:06:52,-21.3667,55.6167,79.21,75,28,15.93
43,Arraial Do Cabo,BR,2021-09-26 08:06:52,-22.9661,-42.0278,70.47,82,75,24.56
44,Riyadh,SA,2021-09-26 08:05:58,24.6877,46.7219,96.85,11,0,9.22
45,Tromso,NO,2021-09-26 08:06:52,69.6496,18.957,46.38,81,75,1.99
46,Seoul,KR,2021-09-26 08:04:07,37.5683,126.9778,79.99,48,100,4.12
47,East London,ZA,2021-09-26 08:06:21,-33.0153,27.9116,68.29,65,40,8.57
48,Tranas,SE,2021-09-26 08:06:53,58.0372,14.9782,54.37,64,100,5.57
49,San Jose,US,2021-09-26 08:06:53,37.3394,-121.895,62.11,83,90,5.75
50,Saldanha,ZA,2021-09-26 08:06:53,-33.0117,17.9442,61.65,84,27,12.03
51,Provideniya,RU,2021-09-26 08:06:54,64.3833,-173.3,32.85,77,71,6.64
52,Geraldton,AU,2021-09-26 08:06:54,-28.7667,114.6,68.41,56,40,16.11
53,Saint-Philippe,RE,2021-09-26 08:06:54,-21.3585,55.7679,80.22,83,47,15.61
54,Suleja,NG,2021-09-26 08:06:55,9.1758,7.1808,73.44,86,100,1.05
55,Pisco,PE,2021-09-26 08:05:03,-13.7,-76.2167,60.85,88,90,5.75
56,Tshikapa,CD,2021-09-26 08:06:55,-6.4167,20.8,83.88,54,47,3.91
57,Punta Arenas,CL,2021-09-26 08:06:56,-53.15,-70.9167,33.91,86,40,3.44
58,Hobart,AU,2021-09-26 08:06:56,-42.8794,147.3294,53.26,62,20,5.75
59,Nishihara,JP,2021-09-26 08:04:53,26.1842,127.7558,85.68,82,75,5.75
60,Surgut,RU,2021-09-26 08:06:56,61.25,73.4167,41.18,81,0,8.95
61,Kodiak,US,2021-09-26 08:06:57,57.79,-152.4072,37.33,81,24,7.63
